=== BACK.UNI (48881664 bytes) ===
  185 entries
   23  off=0x5CC800    sectors=129    magic=b'ART2'   tag='バッティングザ�'
   24  off=0x60D000    sectors=129    magic=b'ART2'   tag='バッティングベ�'

=== MOGURA.UNI (1458176 bytes) ===
  6 entries
    0  off=0x1000      sectors=129    magic=b'ART2'   tag='mogura_chara'
    1  off=0x41800     sectors=129    magic=b'ART2'   tag='mogura_haikei'
    2  off=0x82000     sectors=129    magic=b'ART2'   tag='mogura_pa-tu'
    3  off=0xC2800     sectors=129    magic=b'ART2'   tag='mini_kyoutu'
    4  off=0x103000    sectors=65     magic=b'ART2'   tag='challenge'
    5  off=0x123800    sectors=129    magic=b'ART2'   tag='mogura_chara_ch'

=== RUN.UNI (1458176 bytes) ===
  6 entries
    0  off=0x1000      sectors=129    magic=b'ART2'   tag='run_chara'
    1  off=0x41800     sectors=129    magic=b'ART2'   tag='run_haikei'
    2  off=0x82000     sectors=129    magic=b'ART2'   tag='run_pa-tu'
    3  off=0xC2800     sectors=129    magic=b'ART2'   tag='mini_kyoutu'
    4  off=0x103000    sectors=65     magic=b'ART2'   tag='challenge'
    5  off=0x123800    sectors=129    magic=b'ART2'   tag='run_haikei_ch'

=== SCRIPT.UNI (3610624 bytes) ===
  35 entries
    0  off=0x1000      sectors=1      magic=b'STCM'   tag='By Minku 06.0'
    1  off=0x1800      sectors=77     magic=b'STCM'   tag='By Minku 06.0'
    2  off=0x28000     sectors=21     magic=b'STCM'   tag='By Minku 06.0'
    3  off=0x32800     sectors=4      magic=b'STCM'   tag='By Minku 06.0'
    4  off=0x34800     sectors=4      magic=b'STCM'   tag='By Minku 06.0'
    5  off=0x36800     sectors=15     magic=b'STCM'   tag='By Minku 06.0'
    6  off=0x3E000     sectors=84     magic=b'STCM'   tag='By Minku 06.0'
    7  off=0x68000     sectors=78     magic=b'STCM'   tag='By Minku 06.0'
    8  off=0x8F000     sectors=91     magic=b'STCM'   tag='By Minku 06.0'
